Award Name,Organization,Purpose,Level Of Study,Award Type,Award Amount,Deadline
Automotive Technician Scholarship Program,Massachusetts State Automobile Dealers Association,To enrich the lives of auto tech students through scholarships.,Bachelor's Degree,Scholarship,"$6,000
$13,000",August
AVS Electronic Materials & Photonic Division Postdoctoral Travel,AVS Science and Technology Society,To recognize postdoctoral fellows who will be presenting EMPD papers at the International Symposium.,Professional Development,Prize,$500,August
AWS Cloud Institute Learner Grant,Amazon Web Services,"AWS Cloud Institute is a virtual cloud skills training program for any adult learner - regardless of technical background - looking to become an AWS cloud developer and launch their cloud career in as little as nine (9) months. To support learners with financial constraints, AWS is offering a limited number of learner grants to cover either 50% or 100% of course fees, minus sales taxes.","Professional Development
Vocational",Grant,"$1,890",August
"Banafshe Law Firm, PC $1000 Scholarship","Banafshe Law Firm, PC",To help students who have overcome challenges pay for college.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",August
Barry M. Goldwater Scholarship,University of Wisconsin-Madison,"To support and recognize promising undergraduates who plan to pursue a PhD or MD/PhD followed by a research career in engineering, mathematics or the natural sciences.",Bachelor's Degree,Scholarship,"$7,500",August
BCCC Foundation General Scholarship Fund,Baltimore City Community College,To provide financial assistance to individuals who have the desire and commitment to pursue their educational goals.,Bachelor's Degree,Scholarship,N/A,August
Benson Law Firm Scholarship Contest,Benson Law Firm,"To provide financial aid to college students, encourage students to understand how bankruptcy relief helps small businesses, and inspire students to pursue a career in any legal field.",N/A,Scholarship,"$1,000",August
Biomatrix Mike Hylton Memorial Scholarship,Hemophilia Federation of America,To encourage educational pursuits among men with bleeding disorders through providing financial assistance.,"Bachelor's Degree
Vocational",Scholarship,"$1,000",August
BioMatrix Millie Gonzalez Memorial Scholarship,Hemophilia Federation of America,To encourage educational pursuits among women with bleeding disorders through providing financial assistance.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",August
Bluepay Stem Scholarship,BluePay Processing L.L.C.,To support students pursuing degrees in STEM fields.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",August
Bonnie Strangio Education Scholarship,Boomer Esiason Foundation,To provide educational assistance for students with cystic fibrosis.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",August
Boomer Benefits Scholarship,Consumer Benefits Group LLP,"To recognize and empower students who have returned to school later in life to better themselves, advance their current career path, or pursue a new career.","Bachelor's Degree
Graduate Degree",Scholarship,"$2,500",August
Breast Cancer Car Donations Annual College Scholarship,Breast Cancer Car Donations,To help students pay for STEM educations and thus pave the way for tomorrows leaders.,Bachelor's Degree,Scholarship,"$250
$1,000",August
Brylak Law Safety Scholarship Contest,Brylak Law,"To provide financial aid to college students; encourage students to explore the role personal injury lawyers play in minimizing hazards, helping those injured, and encouraging people everywhere to think about consumer safety; and inspire students to pursue a career in any legal field.",Bachelor's Degree,Scholarship,"$1,000",August
Capital Auto Auction Annual Scholarship,Capital Auto Auction,"To help provide more individuals with the opportunity to get a solid education, Capital Auto Auction is awarding a scholarship to support students pursuing STEM-related degrees.",Bachelor's Degree,Scholarship,"$250
$1,000",August
Carli Edwards Memorial Scholarship for Criminal Justice Majors,Shoreline Community College Foundation,To provide Shoreline Community College students who are survivors of domestic abuse with financial assistance toward the purchase of textbooks.,Bachelor's Degree,Scholarship,$200,August
Carol E. Macpherson Memorial Scholarship,Carol E. Macpherson Memorial Scholarship Fund Inc.,To help for returning women students succeed.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000
$6,000",August
Cengage Travel Award for Teachers of Reading at a Community College,College Reading and Learning Association,To support a member who seeks professional development.,Professional Development,Scholarship,N/A,August
CIA Undergraduate Scholarships,Central Intelligence Agency,To provide CIA has scholarships for undergraduate and graduate students.,Bachelor's Degree,Scholarship,"$18,000",August
CIA Undergraduate Scholarships,Association of Former Intelligence Officers,To provide CIA has scholarships for undergraduate and graduate students.,Bachelor's Degree,Scholarship,"$18,000",August
City of Boston Disability Scholarship Contest,"Jonathan M. Feigenbaum, Esquire",To help needy college students who have family members suffering from a disability and encourage students to explore what they have learned about a disability that can have a positive impact on family and community.,Bachelor's Degree,Scholarship,"$1,000",August
Claes Nobel Good Earth Sustainability Scholarship,National Society of High School Scholars,"To assist students pursuing studies in conservation, sustainability, environmental policy, or preservation of the Earth.","Bachelor's Degree
Graduate Degree",Scholarship,"$2,000",August
Clubs of America Scholarship Program,Clubs of America,To help students pursue career dreams and aspirations.,Bachelor's Degree,Scholarship,"$1,000",August
Colonel Nate Smith Scholarship Program,MCRD Museum Foundation,To provide educational assistance for MCRD San Diego enlisted marines or sailors and their dependents that are enrolled in an accredited graduate or undergraduate college program.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",August
Community Impact Scholarship,The Law Office of Jerry D. Andrews,To provide assistance for students who have made a substantial impact in their community through volunteer service.,"Bachelor's Degree
Graduate Degree",Scholarship,"$5,000",August
Competitive Research Grants,American Association of Endodontists,To inspire and support research and the genesis of new knowledge in endodontics.,"Graduate Degree
Professional Development",Grant,$500,August
Conservation Fellowship and Scientific Research Fellowship,Metropolitan Museum of Art,To provide an opportunity for fellows to receive training in scientific research and conservation practices.,"Graduate Degree
Professional Development",Fellowship,"$6,000
$42,000
$52,000",August
Cores & Associates Scholarship Contest,Cores & Associates,"To provide financial aid to college students, encourage students to understand how lawyers help family law proceedings, and inspire students to pursue a career in the legal field.",Bachelor's Degree,Scholarship,"$1,000",August
CRN Scholarship for an Individual with Cystinosis,Cystinosis Research Network,To support the education of an individual diagnosed with cystinosis.,"Bachelor's Degree
Vocational",Scholarship,"$1,000",August
Da Vinci Scholarship Fund,Greater Cincinnati Foundation,To support students of Italian descent in the Cincinatti Metro Area who are pursuing postsecondary education.,"Bachelor's Degree
Graduate Degree
Vocational",Scholarship,N/A,August
Damon Runyon Cancer Research Foundation Fellowships,Damon Runyon Cancer Research Foundation,To support the training of the brightest postdoctoral scientists as they embark upon their research careers.,"Graduate Degree
Professional Development",Fellowship,"$50,000
$60,000",August
Dealsshutter.com Scholarship,Dealsshutter,To allow students anywhere in the world to pursue and education.,Bachelor's Degree,Scholarship,$500,August
Deanna Lynn Potts Scholarship,Cystinosis Research Network,To support students with cystinosis who are pursuing postsecondary education.,"Bachelor's Degree
Vocational",Scholarship,"$1,000",August
DeVries Law School Scholarship,DeVries & Associates,"To provide financial aid to college students, encourage students to understand how lawyers help businesses thrive, and inspire students to pursue a career in any legal field.",Bachelor's Degree,Scholarship,"$1,000",August
Dewey Lee Curtis Symposium Scholarships,The Decorative Arts Trust,To enable graduate students and young professionals in a field related to the decorative arts to attend the Decorative Arts Trust's biannual symposia.,Professional Development,Scholarship,N/A,August
Digital Marketing Scholarship Program,CartVela,To help needy students in fulfilling their aims for future so that they can be the best of themselves.,Bachelor's Degree,Scholarship,"$1,500",August
Disability Care Center Disabled Student Scholarship,The Disability Care Center,To assist students who are suffering from a debilitating condition(s) while continuing their education at a college institution.,"Bachelor's Degree
Graduate Degree",Scholarship,$500,August
Disability Care Center Special Education Scholarships,The Disability Care Center,To support students who are pursuing a degree in special education.,Bachelor's Degree,Scholarship,$500,August
Distracted Driving Scholarship,J & Y Law Firm,To support high school seniors and college students who are committed to servicing their community by pledging to abstain from distracted driving.,"Bachelor's Degree
High School",Scholarship,"$1,000",August
Drummond Law Firm Scholarship,Drummond Law Firm,To help ROTC students and military veterans gain an education.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",August
Dumbarton Oaks Research Library and Collection Summer Fellowship,Dumbarton Oaks Research Library and Collection,"To support students who are interested in learning and conducting research in Byzantine, Garden and Landscape, and Pre-Columbian studies.","Graduate Degree
Professional Development",Fellowship,$300,August
Earl S. Tupper Three-year Postdoctoral Fellowship,Smithsonian Tropical Research Institute,To support an outstanding candidate in one of the many research fields practiced at STRI.,Professional Development,Fellowship,"$16,000
$55,000",August
Early Childhood Educators Scholarship Program,Massachusetts Office of Student Financial Assistance,To provide financial assistance for currently employed early childhood and out of school time educators and providers who enroll in an associate's or bachelor's degree program in Early Childhood Education or related programs.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,August
Elite Entrepreneurs Scholarship Contest,Elite Entrepreneurs,"To provide financial aid to college students, encourage students who have ideas and want to become entrepreneurs, and inspire students to grow their business ideas.","Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000",August
Elizabeth M. Mauro Reimbursement Awards,The Actuarial Foundation,To recognize the limited resources available and to support career changers aspiring to transition into the actuarial profession.,Professional Development,"Grant
Prize",N/A,August
Engaged Anthropology Grant,Wenner-Gren Foundation,To enable grantees to return to their research locale to share their research results.,"Graduate Degree
Professional Development",Grant,"$5,000",August
Eric Niemitalo Scholarship in Earth and Environmental Science,Shoreline Community College Foundation,"To provide financial support to students who are pursuing degrees in environmental science, geography, or geology.",Bachelor's Degree,Scholarship,"$1,000",August
EssayPro Scholarship Contest,Devellux Inc.,Benefits students willing to display their writing expertise.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$10,500",August
EssayPro Scholarship Contest 2023,Devellux Inc,"With the EssayPro Scholarship 2023, not only can students display
their writing expertise and benefit from the rewards, but it also allows
North America and Canada's largest writer's community to extend its
influence and assist more students.","Bachelor's Degree
Graduate Degree
High School",Prize,"$10,500",August
"Evans Warncke Robinson, LLC Scholarship Contest",Evans Warncke Robinson LLC,"To provide financial aid to college students, encourage students to understand their personal motivation for a career in the legal field, and inspire students to pursue a career in law.",Bachelor's Degree,Scholarship,"$1,000",August
FAER Research Fellowship Grants,Foundation for Anesthesia Education and Research,To provide anesthesiology residents and fellows the opportunity to obtain significant training in research techniques and scientific methods.,"Graduate Degree
Professional Development",Grant,"$75,000",August
Fielding Law Group Scholarship Contest,Fielding Law Group,"To provide financial aid to college students, encourage students to understand their personal motivation for a career in the legal field, and inspire students to pursue a career in law.",Bachelor's Degree,Scholarship,"$1,000",August
Frank B. Sessa Scholarship,Beta Phi Mu,"To support Beta Phi Mu members in pursuing continuing professional education in LIS, archival studies, or other approved information-related studies.",Professional Development,Scholarship,$150,August
Frank del Olmo Memorial Scholarship,CCNMA: Latino Journalists of California,To support qualified Latino students who are planning to pursue a career in journalism.,Bachelor's Degree,Scholarship,"$500
$1,000",August
Frederick A. Tarantino Memorial Scholarship Award,Universities Space Research Association,To support students who have shown a career interest in science or engineering with an emphasis on space research or space science education.,Bachelor's Degree,Scholarship,"$5,000",August
Future Educators Scholarship,Mrs Prindables,To help students in the education field afford higher education as the sponsor believes they have the power to spark positive developments in students lives and futures.,Bachelor's Degree,Scholarship,"$1,000",August
GBV Service Scholarship 2024,Glauber Berenson Vego LLP,"There are many ways that we as people can serve others both within our community and abroad. Within our community, we can volunteer our time or resources to worthy causes to help those in need. We can also help other communities by going abroad as part of military or humanitarian efforts to assist those suffering from the effects of war, famine, disease, and more. No matter the method, taking time and resources to help is more than just a rewarding experience: it’s the right thing to do.

To celebrate the efforts of those who take part in helping communities grow, our team at Glauber Berenson Vego is proud to announce the 2024 GBV Service Scholarship! This $1,000 opportunity is designed to support students who have made the effort to serve others in their lives. To apply, we are asking students to write a 750-1000 word essay about serving others or the work they did and submit it along with their unofficial transcript and professional resume.","Associate Degree
Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000",August
"George H. A. Clowes, Jr. MD, FACS, Memorial Research Career",American College of Surgeons Professional Association,To provide support for the research of a promising young surgical investigator.,Professional Development,Fellowship,"$45,000",August
Helen B. and Lewis E. Goldstein Scholarship,Jewish Community Federation and Endowment Fund,To help Jewish students afford an undergraduate degree.,"Bachelor's Degree
Graduate Degree",Scholarship,"$10,000",August
Herbert Law Office Scholarship Contest,Herbert Law Office,"To provide financial aid to students, encourage students to understand their personal motivation for a career in the legal field, and inspire students to pursue a career in law.",Bachelor's Degree,Scholarship,"$1,000",August
"Hermann Law Group, PLLC Scholarship Contest",Hermann Law Group PLLC,To provide financial aid to a college student; encourage students to understand their personal motivation for a career in the legal field; inspire students to pursue a career in law.,Bachelor's Degree,Scholarship,"$1,000",August
HIPLA Fellowship,Houston Intellectual Property Law Association,To promote development and understanding of the Intellectual Property Law to law students.,Bachelor's Degree,Fellowship,"$3,000",August
Horatio Alger Indigenous Achievement Scholarship,Indspire,To support Canadian Indigenous students pursuing four-year postsecondary degrees.,Bachelor's Degree,Scholarship,N/A,August
Hospitality Certification Scholarships,Timothy S Y Lam Foundation,"The Timothy S Y Lam Foundation (TSYLF) appreciates the importance of continuing your professional education and advancement through certification. Hospitality certifications increase the value of professionals to their employers, shows proof of a comprehensive body of knowledge, and promotes industry standards, practices and ethics.","Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Scholarship,$600,August
Hospitality Education Scholarship,Timothy S Y Lam Foundation,"The Foundation offers post-secondary education scholarships, each spring and fall, for students seeking a career in the hospitality industry, as well as to incumbents seeking credentials for advancement, on a competitive basis. The Foundation endeavors to identify and reward the best and brightest of the hospitality industrys next generation of leaders. Scholarships will be adjudicated by the Board of Trustees.","Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Scholarship,"$2,000",August
HPFY Beyond Disability Scholarship,Health Products For You,The *HPFY Beyond Disability Scholarship* of *$1000* will be awarded to a deserving high school senior who plans to attend a vocational or academic college. Applicant can also be a student currently enrolled in college.,"Associate Degree
Bachelor's Degree
High School
Vocational",Scholarship,"$1,000",August
HPFY Beyond Disability Scholarship,Health Products For You,To assist a deserving high school senior who plans to attend a vocational or academic college.,"Associate Degree
Bachelor's Degree
Vocational",Scholarship,"$1,000",August
HPFY Make A Difference Scholarship,Health Products For You,"At HPFY, we strongly believe in corporate social responsibility and giving back to the communities we are privileged to serve. The *HPFY Make A Difference Scholarship* of *$1000* will be awarded to one(1) deserving high school senior who has spent at least 100 hours volunteering to provide care, comfort or service to those in need.","Associate Degree
Bachelor's Degree
High School
Vocational",Scholarship,"$1,000",August
Hudson-Chouinard Fund,Community Foundation of Prince Edward Island,To support a PEI post-secondary student who works in the golf industry.,Bachelor's Degree,Scholarship,N/A,August
IAASM Aviation Medicine Scholarship,International Academy of Aviation and Space Medicine,To enable young physicians commencing a career in aerospace medicine to undertake training in the specialty.,Professional Development,Scholarship,"$20,000",August
IASP Collaborative Research Grants,International Association for the Study of Pain,"To support international interdisciplinary pain research collaborations between at least two countries with an emphasis on collaborations among basic, translational, and clinical scientists.",Professional Development,Grant,"$15,000",August
IRUA Scholars Program,"IRU, Inc.",To expand the exposure to reinsurance for students/interns through enhanced networking and interaction with existing industry professionals.,Bachelor's Degree,Scholarship,N/A,August
Jack G. Lezman Scholarship Contest,Jack G. Lezman,To provide financial aid to college students and encourage students to understand why bankruptcy relief is necessary to encourage entrepreneurship and economic development. Also looks to inspire students to pursue a career in any legal field.,Bachelor's Degree,Scholarship,"$1,000",August
James B. Willett Educational Memorial Scholarship Award,Universities Space Research Association,To recognizes an noted astrophysicist who worked with USRA through the Jet Propulsion Laboratory and NASA Headquarters.,Bachelor's Degree,Scholarship,"$5,000",August
James Madison Foundation - Senior Fellowships,James Madison Memorial Fellowship Foundation,To support outstanding former or current teachers who are required to complete graduate study within five calendar years of part-time study.,"Graduate Degree
Professional Development",Fellowship,"$24,000",August
Joel Garcia Memorial Scholarship,CCNMA: Latino Journalists of California,To provide support to qualified Latino students who are planning to pursue a career in journalism.,Bachelor's Degree,Scholarship,"$500
$1,000",August
John Glaser Scholarships,College of Healthcare Information Management Executives,To acknowledge IT staff members who show potential for advancement to a CIO and who are dedicated to professional development.,"Bachelor's Degree
Professional Development",Scholarship,"$5,000",August
John R. Sevier Memorial Scholarship Award,Universities Space Research Association,To honors his dedication to education and advancements in aerospace technology.,Bachelor's Degree,Scholarship,"$5,000",August
Judith Graham Pool Postdoctoral Research Fellowships,National Hemophilia Foundation,To provide a long legacy of support for basic science and pre-clinical research in bleeding disorders.,Professional Development,Fellowship,"$52,000",August
Kurz Industrial Solutions Wind Energy Scholarship Fund,Kurz Industrial Solutions,To assist students studying within the renewable energy field.,Graduate Degree,Scholarship,"$1,000",August
Law Office of A. Sam Jubran Scholarship Contest,Law Office of A. Sam Jubran Scholarship Contest,To provide financial aid to college students and encourage students to understand their personal motivation for a career in the legal field.,Bachelor's Degree,Scholarship,"$1,000",August
Lawrence Ginocchio Aviation Scholarships,National Business Aviation Association,"To support students who have demonstrated honesty, integrity, and selflessness in their dealings with others.",Bachelor's Degree,Scholarship,"$4,500",August
Live Your Dream Award,Soroptimist International of Sequim,To enable girls and women to complete their education and achieve economic empowerment.,"Associate Degree
Bachelor's Degree
Professional Development
Vocational",Scholarship,"$2,000",August
Lois Widly Student Scholarships,International Nurses Society on Addictions,To financially assist IntNSA members to further their professional education.,"Bachelor's Degree
Graduate Degree",Scholarship,$500,August
LoopEd Scholarship,DoorLoop,Provides financial aid to STEM majors looking to lead with innovation.,"Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$3,000",August
Louise A. Stephens Memorial Scholarship,Arizona Library Association,To support AzLA members enrolled in the iSchool M.A. program.,Graduate Degree,Scholarship,"$2,000",August
Make Me Laugh Scholarship,UNIGO Group,To serve the needs of students seeking further education.,"Associate Degree
Bachelor's Degree
High School",Scholarship,"$1,500",August
Mangum & Associates PC Scholarship Contest,Mangum & Associates PC,"To provide financial aid to students, encourage students to understand their personal motivation for a career in the legal field, and inspire students to pursue a career in law.",Bachelor's Degree,Scholarship,"$1,000",August
McCloy Fellowships in Agriculture,American Council on Germany,To enable American and German professionals to conduct significant research in agriculture and meet with their professional counterparts.,Professional Development,Fellowship,"$5,000",August
McCloy Fellowships in Urban Affairs,American Council on Germany,To enable American and German professionals to conduct research and meet with their professional counterparts.,Professional Development,Fellowship,"$5,000",August
Mellon/ACLS Dissertation Completion Fellowships,American Council of Learned Societies,"To provide support for young scholars who are in the phase of completing their dissertations, as well as to advance research after being awarded the PhD.",Graduate Degree,Fellowship,"$3,000
$5,000
$30,000",August
Men of Principle Scholarship,Beta Theta Pi,To help individual Beta chapters and colonies of the Fraternity recognize unaffiliated (non-Greek) male students on college campuses.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,August
Michael Moody Fitness Scholarship,Michael Moody Fitness,To provide financial support to an individual pursuing a career in a health and fitness related fields.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,500",August
Mila Boyd Law Offices Scholarship Contest,Mila Boyd Law Offices,"To provide financial aid to college students, encourage students to understand their personal motivation for a career in the legal field.",High School,Scholarship,"$1,000",August
Milbank Diversity Scholars Program,Milbank L.L.P.,To inspire career pursuits and excellence in the field of law by providing educational support for qualified law students.,Bachelor's Degree,Scholarship,"$25,000",August
Military Service Scholarship,The Sigma Chi Foundation,To provide scholarships to undergraduate and graduate Sigma Chi Brothers who are currently serving or have served in any branch of the U.S. military.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",August
NACCED Annual John C. Murphy Scholarships,National Association for County Community and Economic Development,To recognize an undergraduate or graduate student currently attending an American college or university with a chosen field of study that includes course work in the areas of affordable housing and/or community and economic development and who exhibit fin,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,500",August
NAFA Scholarship Program,National Air Filtration Association,To honor and aid students who demonstrate outstanding personal and academic characteristics.,Graduate Degree,Scholarship,"$1,000",August
Need-based and Merit Scholarships,Eastman Community Music School,To assist ECMS students in their continuing education.,Bachelor's Degree,Scholarship,N/A,August
Nicholas Metropolis Award for Outstanding Doctoral Thesis Work in,American Physical Society,"To recognizes doctoral thesis research of outstanding quality and achievement in computational physics and encourages effective written and oral presentation of research results,.",Graduate Degree,"Prize
Scholarship","$1,500
$2,500",August
Norma J. Shoemaker Award for Critical Care Nursing Excellence,Society of Critical Care Medicine,"To recognize an SCCM nurse member who demonstrates excellence in critical care clinical practice, education, and/or administration.",Professional Development,Prize,"$1,000",August
NOVA Foundation Scholarships,Nurses Organization of Veterans Affairs,To help students further their education in a graduate degree program.,Graduate Degree,Scholarship,"$1,500
$3,000",August
NSHSS James W. Lewis Collegiate Global Leader Scholarship,National Society of High School Scholars,To encourage and recognize young leaders who exemplify the values to which Mr. Lewis has dedicated his life and work.,Bachelor's Degree,Scholarship,"$5,000",August
NSHSS James W. Lewis High School Global Leader Scholarship,National Society of High School Scholars,To encourage and recognize young leaders who exemplify the values to which Mr. Lewis has dedicated his life and work.,High School,Scholarship,"$5,000",August
NSS Education Grants,National Speleological Society,To support initiatives that promote cave and karst education or education programs for K-12 students.,Bachelor's Degree,Grant,N/A,August
Number 1 Auto Transport Annual Scholarship,Number 1 Auto Transport,To help undergraduate and graduate students pay for a college education.,"Bachelor's Degree
Graduate Degree",Scholarship,$500,August
Oregon Literary Fellowships,Literary Arts,"To help Oregon writers initiate, develop or complete literary projects in poetry, fiction, literary nonfiction, drama and young readers literature.",Professional Development,Fellowship,"$3,500",August
Oregon Native American Chamber Scholarships,Oregon Native American Chamber,To provide financial support to American Indian and Alaskan Native students who seek to use their education as a means to offer service to their respective communities.,Bachelor's Degree,Scholarship,"$2,500
$5,000",August
OSHA Graduate Scholarship,Oklahoma Speech-Language-Hearing Association,To provide financial assistance to students majoring in speech-language pathology or audiology.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",August
PATCH Early Childhood Education Scholarships,Patch,To support the quality of care for young people who are entering into the early care and education profession.,Graduate Degree,Scholarship,$750,August
Perfect Plants Scholarship,Perfect Plants Nursery,To assist students pursuing a degree in the horticultural industry.,Associate Degree,Scholarship,"$1,000",August
Pew Latin American Fellows Program in the Biomedical Sciences,Pew Charitable Trusts,To support young scientists from Latin America to receive postdoctoral training in the United States.,N/A,Fellowship,N/A,August
PTAC Crew Scholarship for HVAC Students,PTAC Crew,To help an HVAC student attend college.,Vocational,Scholarship,"$1,500",August
PWIPM Professional Empowerment Grant,National Pest Management Association,To support a female interested in advancing or securing a career in the pest management industry.,Professional Development,Grant,"$1,000",August
Red Olive Women in STEM Scholarship,Red Olive,To encourage female students to study in STEM fields.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",August
Redfin Scholarship,Redfin,To help one student on his or her journey through higher education.,"Associate Degree
Bachelor's Degree
High School",Scholarship,"$2,500",August
Richard L. Greene Dissertation Award in Experimental Condensed,American Physical Society,To promote doctoral thesis research of exceptional quality and importance in experimental condensed matter or experimental materials physics.,"Graduate Degree
Professional Development","Prize
Scholarship","$1,000
$3,000",August
Robert E. Leet and Clara Guthrie Patterson Trust Mentored Research,Health Resources in Action,To support research and pilot studies in clinical research that focus on the causes of human disease and/or improving treatment.,Professional Development,Grant,"$45,000
$90,000",August
Robert S. Hilbert Memorial Student Travel Grants,Optical Society of America Foundation,"To support the students in the areas of optical engineering, lens design and/or illumination design.","Bachelor's Degree
Graduate Degree",Grant,"$1,100",August
Russell & Lazarus Safety Scholarship Contest,Russell & Lazarus,"To provide financial aid to college students, inspire students to pursue a career in any legal field, and encourage students to explore the role personal injury lawyers play in minimizing hazards, helping those injured, and encouraging people to think about consumer safety.",Bachelor's Degree,Scholarship,"$1,000",August
"Russell Law Firm, LLC Scholarship For Students","Russell Law Firm, LLC",,"Associate Degree
Bachelor's Degree",Scholarship,$500,August
Saskatchewan School Boards Association Education Scholarships,Saskatchewan School Boards Association,To support students who remain in Saskatchewan for acquiring post-secondary education.,"Bachelor's Degree
Vocational",Scholarship,"$2,500",August
SCC Full-Time Continuing Student Scholarship,Shoreline Community College Foundation,To provide financial assistance to students who are in need.,Bachelor's Degree,Scholarship,"$2,000",August
"Scholarship from Law Office of Yuriy Moshes, P.C.","Law Office of Yuriy Moshes, P.C.",To promote education and awareness for the victims of sexual harassment.,Bachelor's Degree,"Prize
Scholarship","$1,000",August
Senior Scholar Scholarship Presented by 65Medicare.org,"Secure Medicare Solutions, Inc.",To assist an adult either returning to school or pursuing a new career trajectory to reach their educational goals.,Associate Degree,Scholarship,"$1,000",August
